,Artist,Song
0,Miley Cyrus,Flowers
1,SZA,Kill Bill
2,Morgan Wallen,Last Night
3,Sam Smith & Kim Petras,Unholy
4,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
5,Beyonce,Cuff It
6,Taylor Swift,Anti-Hero
7,The Weeknd,Die For You
8,David Guetta & Bebe Rexha,I'm Good (Blue)
9,Harry Styles,As It Was
10,Drake & 21 Savage,Rich Flex
11,Lil Uzi Vert,Just Wanna Rock
12,Morgan Wallen,Thought You Should Know
13,PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
14,Meghan Trainor,Made You Look
15,Chris Brown,Under The Influence
16,JVKE,Golden Hour
17,Morgan Wallen,You Proof
18,Bailey Zimmerman,Rock And A Hard Place
19,Zach Bryan,Something In The Orange
20,Kane Brown With Katelyn Brown,Thank God
21,Steve Lacy,Bad Habit
22,Luke Combs,"Going, Going, Gone"
23,RAYE Featuring 070 Shake,Escapism
24,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
25,Taylor Swift,Lavender Haze
26,Rema & Selena Gomez,Calm Down
27,Coi Leray,Players
28,SZA,Shirt
29,Miguel,Sure Thing
30,Luke Combs,The Kind Of Love We Make
31,Lainey Wilson,Heart Like A Truck
32,Bizarrap & Shakira,"Bzrp Music Sessions, Vol. 53"
33,SZA,Snooze
34,Stephen Sanchez,Until I Found You
35,Future Featuring Drake & Tems,Wait For U
36,Post Malone Featuring Doja Cat,I Like You (A Happier Song)
37,Morgan Wallen,I Wrote The Book
38,Fuerza Regida X Grupo Frontera,Bebe Dame
39,GloRilla & Cardi B,Tomorrow 2
40,Lizzo,About Damn Time
41,HARDY Featuring Lainey Wilson,Wait In The Truck
42,Cole Swindell,She Had Me At Heads Carolina
43,SZA,Nobody Gets Me
44,Jordan Davis,What My World Spins Around
45,Sia,Unstoppable
46,Morgan Wallen,One Thing At A Time
47,Nate Smith,Whiskey On You
48,Zach Bryan Featuring Maggie Rogers,Dawns
49,The Kid LAROI,Love Again
50,Morgan Wallen,Everything I Love
51,Rihanna,Lift Me Up
52,Carin Leon X Grupo Frontera,Que Vuelvas
53,SZA,Low
54,Megan Moroney,Tennessee Orange
55,Karol G x Romeo Santos,X Si Volvemos
56,Lady Gaga,Bloody Mary
57,Parker McCollum,Handle On You
58,Carly Pearce,What He Didn't Do
59,Lil Baby,Freestyle
60,Corey Kent,Wild As Her
61,Drake & 21 Savage,Spin Bout U
62,Brett Young,You Didn't
63,Luke Combs,Growin' Up And Gettin' Old
64,Sabrina Carpenter,Nonsense
65,d4vd,Here With Me
66,Tory Lanez,The Color Violet
67,"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG
68,Tiesto Featuring Tate McRae,10:35
69,Manuel Turizo,La Bachata
70,Lewis Capaldi,Forget Me
71,Hotel Ugly,Shut Up My Moms Calling
72,SZA,Blind
73,NewJeans,OMG
74,Grupo Frontera,No Se Va
75,Future,Love You Better
76,Arcangel & Bad Bunny,La Jumpa
77,Peso Pluma X Natanael Cano,PRC
78,Jason Aldean,That's What Tequila Does
79,SZA,Love Language
80,Morgan Wallen,Tennessee Fan
81,NewJeans,Ditto
82,Falling In Reverse,Watch The World Burn
83,Cody Johnson,Human
84,Ice Spice,In Ha Mood
85,Finesse2Tymes,Back End
86,NLE Choppa & 2Rare,Do It Again
87,Ozuna Featuring Feid,Hey Mor
88,Metro Boomin Featuring Don Toliver & Future,Too Many Nights
89,SZA Featuring Phoebe Bridgers,Ghost In The Machine
90,Junior H X Oscar Maydon,Fin de Semana
91,Rosa Linn,Snap
92,Lil Baby,California Breeze
93,Sam Smith,I'm Not Here To Make Friends
94,Nengo Flow & Bad Bunny,Gato de Noche
95,Yandel & Feid,Yandel 150
96,Mac DeMarco,Heart To Heart
97,Jordan Davis,Next Thing You Know
98,P!nk,Never Gonna Not Dance Again
99,SZA Featuring Travis Scott,Open Arms
